user_id,is_paid,registration_days,source_channel_encoded,has_invitor,is_mobile_user,has_phone,has_email,contact_methods_count,learning_sessions,learning_days,avg_sessions_per_day,total_duration,avg_session_duration,avg_score,max_score,score_std,word_accuracy,sentence_accuracy,total_practices,course_completion_rate,immersive_ratio,total_visits,active_days,visit_frequency,unique_pages,unique_events,is_multi_device,primary_device_encoded,payment_page_visits
2542562,0,-22,0,0,0,1,0,1,2,1,2.0,422,211.0,33.5,58,34.64823227814083,0.0,0.0,4,0.335,0.8,71,1,71.0,12,2,0,2,0
2542563,0,-28,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,46,2,23.0,25,2,0,2,0
2509802,0,13,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,7,1,7.0,5,1,0,2,0
2149357,0,-88,0,0,0,0,1,1,2,1,2.0,757,378.5,71.5,100,40.30508652763321,0.0,0.0,4,0.715,0.8,73,1,73.0,13,2,0,2,0
3001326,0,-40,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,45,1,45.0,8,2,0,2,0
2345965,0,-29,0,0,0,0,1,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,154,5,30.8,16,2,0,2,0
2575351,0,-181,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
2345975,0,-141,0,0,0,0,1,1,2,1,2.0,99,49.5,1.0,2,1.4142135623730951,0.0,0.0,4,0.01,0.4,18,1,18.0,9,2,0,2,0
2444293,0,-53,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
2968588,0,-12,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,10,1,10.0,6,3,0,2,0
2214925,0,-183,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
2051089,0,4,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,193,1,193.0,18,2,0,2,0
3034130,0,-48,0,1,0,0,0,0,1,1,1.0,650,650.0,32.0,32,0.0,0.0,0.0,2,0.32,0.8,17,2,8.5,5,2,0,2,0
